generation_id,prompt_id,generator_id,seed,image_path,runtime_ms,error_type
SAFE_CULT_04_RARE_SHORT_FRONT__altdiffusion-m18__s042,SAFE_CULT_04_RARE_SHORT_FRONT,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_04_RARE_SHORT_FRONT__altdiffusion-m18__s042.png,287434.348,
SAFE_CULT_04_RARE_SHORT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_04_RARE_SHORT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_04_RARE_SHORT_MIDDLE__altdiffusion-m18__s042.png,269907.503,
SAFE_CULT_04_RARE_SHORT_BACK__altdiffusion-m18__s042,SAFE_CULT_04_RARE_SHORT_BACK,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_04_RARE_SHORT_BACK__altdiffusion-m18__s042.png,267330.973,
SAFE_CULT_04_RARE_NEAR_LIMIT_FRONT__altdiffusion-m18__s042,SAFE_CULT_04_RARE_NEAR_LIMIT_FRONT,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_04_RARE_NEAR_LIMIT_FRONT__altdiffusion-m18__s042.png,264997.737,
SAFE_CULT_04_RARE_NEAR_LIMIT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_04_RARE_NEAR_LIMIT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_04_RARE_NEAR_LIMIT_MIDDLE__altdiffusion-m18__s042.png,263038.256,
SAFE_CULT_04_RARE_NEAR_LIMIT_BACK__altdiffusion-m18__s042,SAFE_CULT_04_RARE_NEAR_LIMIT_BACK,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_04_RARE_NEAR_LIMIT_BACK__altdiffusion-m18__s042.png,263204.065,
SAFE_CULT_04_RARE_OVER_LIMIT_FRONT__altdiffusion-m18__s042,SAFE_CULT_04_RARE_OVER_LIMIT_FRONT,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_04_RARE_OVER_LIMIT_FRONT__altdiffusion-m18__s042.png,262881.563,
SAFE_CULT_04_RARE_OVER_LIMIT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_04_RARE_OVER_LIMIT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_04_RARE_OVER_LIMIT_MIDDLE__altdiffusion-m18__s042.png,264623.009,
SAFE_CULT_04_RARE_OVER_LIMIT_BACK__altdiffusion-m18__s042,SAFE_CULT_04_RARE_OVER_LIMIT_BACK,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_04_RARE_OVER_LIMIT_BACK__altdiffusion-m18__s042.png,263437.057,
SAFE_CULT_05_COMMON_SHORT_FRONT__altdiffusion-m18__s042,SAFE_CULT_05_COMMON_SHORT_FRONT,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_05_COMMON_SHORT_FRONT__altdiffusion-m18__s042.png,263080.423,
SAFE_CULT_05_COMMON_SHORT_MIDDLE__altdiffusion-m18__s042,SAFE_CULT_05_COMMON_SHORT_MIDDLE,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_05_COMMON_SHORT_MIDDLE__altdiffusion-m18__s042.png,262489.73,
SAFE_CULT_05_COMMON_SHORT_BACK__altdiffusion-m18__s042,SAFE_CULT_05_COMMON_SHORT_BACK,BAAI/AltDiffusion-m18,42,images/SAFE_CULT_05_COMMON_SHORT_BACK__altdiffusion-m18__s042.png,260453.527,
